Customer Segment,RFM_score,F_quartile,R_quartile,M_quartile,Total Paid,last-to-present,Order ID,Units Sold
Loyal custommer,414,1,4,4,75843.57,1123,989886033,8129
Churn customer,444,4,4,4,104517.3,819,750304687,685
Normal,423,2,4,3,281283.6,2155,903707301,5928
Normal,422,2,4,2,1386936.24,876,953347051,5433
New customer,143,4,1,3,260385.6,8,956778991,1020
High paying customer,411,1,4,1,6340180.56,2668,483981502,9736
Normal,433,3,4,3,459098.8,1124,139949357,2980
High paying customer,431,3,4,1,3267120.57,1207,200749242,5017
High paying customer,421,2,4,1,3129914.8,2319,948047435,7159
"Once Loyal, Now Gone",443,4,4,3,343305,1380,787245357,2250
Normal,422,2,4,2,1670041.76,802,158479773,6542
Normal,422,2,4,2,1087509.54,2270,599104058,7059
Normal,432,3,4,2,1046287.2,2148,804683148,2480
Normal,423,2,4,3,346195.2,2512,607620608,7296
"Once Loyal, Now Gone",443,4,4,3,277462.06,2275,835094249,1801
Normal,432,3,4,2,936111.76,454,789108741,3667
Normal,422,2,4,2,796323.36,973,472382342,7287
Loyal custommer,414,1,4,4,72391.47,1186,262937009,7759
High paying customer,421,2,4,1,2966839.2,754,795100581,6786
Normal,423,2,4,3,456298.59,648,438448750,5583
Normal,423,2,4,3,759714.56,2134,660437381,6952
High paying customer,211,1,2,1,1883389.2,166,286968314,9156
Loyal custommer,412,1,4,2,897844.48,596,163892257,8216
Normal,423,2,4,3,345008.95,1421,947507131,7271
High paying customer,431,3,4,1,1995539.7,936,406579387,4730
High paying customer,411,1,4,1,1871252.9,1565,447212922,9097
Churn customer,444,4,4,4,126488.82,1843,500476014,829
Loyal custommer,412,1,4,2,1074768.8,1037,705965840,9835
"Once Loyal, Now Gone",442,4,4,2,791043.75,2126,504973971,1875
Churn customer,444,4,4,4,157248.52,641,688569676,1924
Normal,434,3,4,4,129206.35,1760,235919654,2723
Loyal custommer,112,1,1,2,1481132.84,57,651119601,9614
Churn customer,444,4,4,4,77151.68,1193,176978433,706
Loyal custommer,413,1,4,3,649508.31,682,385233294,7947
High paying customer,411,1,4,1,6357920.78,2100,746989047,9514
High paying customer,411,1,4,1,2099933.28,1409,976200330,8226
"Once Loyal, Now Gone",443,4,4,3,307657.82,1560,886763894,1997
Normal,422,2,4,2,1065016.78,2384,522934901,6913
"Once Loyal, Now Gone",443,4,4,3,554664.1,2473,343847024,830
Normal,424,2,4,4,53041.05,2071,264856183,5685
High paying customer,131,3,1,1,2255411.25,69,171344077,3375
Loyal custommer,112,1,1,2,1472854.74,18,125339686,9653
"Once Loyal, Now Gone",442,4,4,2,848168,1497,445566689,1940
Normal,332,3,3,2,1029939.9,307,864808833,5007
Normal,422,2,4,2,840258.06,2670,821082818,5507
Normal,332,3,3,2,1709920.17,292,502244126,4053
Normal,323,2,3,3,357013.8,305,355122601,7524
High paying customer,411,1,4,1,5318432.07,1556,738502538,8167
"Once Loyal, Now Gone",443,4,4,3,575355.2,715,801637876,1316
Normal,423,2,4,3,700375.52,468,440749442,6409
Churn customer,444,4,4,4,9171.39,1159,889125955,983
High paying customer,421,2,4,1,3618682.05,2401,279149568,5415
Loyal custommer,413,1,4,3,432601.65,714,709815776,9117
New customer,144,4,1,4,120385.62,53,619121921,789
Loyal custommer,412,1,4,2,1380543.84,2744,480904042,9048
Normal,233,3,2,3,774767.74,138,838180291,5029
High paying customer,411,1,4,1,4121047.2,1813,959983909,9426
Normal,433,3,4,3,390015.56,1929,886097419,4772
Normal,432,3,4,2,1539054.72,2749,949657618,3648
Loyal custommer,412,1,4,2,802016.49,2230,682310903,9813
Best customer,111,1,1,1,6510286.34,50,897029244,9742
Churn customer,444,4,4,4,42135.6,2527,662680995,888
Churn customer,444,4,4,4,4207.83,2379,815050637,451
High paying customer,411,1,4,1,3654411.18,367,349212729,8662
High paying customer,421,2,4,1,2468868.4,929,471599566,5647
Normal,432,3,4,2,1184374.8,2234,244570529,2709
Normal,423,2,4,3,689884.64,2458,802094066,6313
Churn customer,444,4,4,4,131236.6,1858,659402263,638
Loyal custommer,414,1,4,4,78297.36,1345,418385398,8392
Normal,222,2,2,2,1037544,113,261548268,6800
Loyal custommer,413,1,4,3,679666.68,1713,174368321,8316
High paying customer,411,1,4,1,3793584.4,671,464107835,8677
Churn customer,444,4,4,4,185608.83,1272,683941256,2271
Loyal custommer,412,1,4,2,1449704.6,2332,614014565,9410
Normal,344,4,3,4,141273.02,344,525381505,917
Churn customer,444,4,4,4,86986.88,2180,819478642,796
Normal,433,3,4,3,744571.98,810,174694478,4833
Normal,423,2,4,3,599244.36,1151,438556039,7332
Normal,432,3,4,2,1201862.8,1205,291745221,2749
Normal,433,3,4,3,443550.06,1580,286001002,2907
Normal,343,4,3,3,333395.68,288,873312079,1306
Normal,422,2,4,2,1139578,2710,363699233,5540
High paying customer,321,2,3,1,4010288.27,211,655905950,6001
Churn customer,444,4,4,4,251571.1,1585,833706796,1223
Normal,433,3,4,3,695426.84,1951,483423173,4514
Normal,224,2,2,4,65617.89,164,211637294,7033
Churn customer,444,4,4,4,138345.88,749,322253739,898
Loyal custommer,312,1,3,2,1256975.54,244,184708344,8159
Normal,433,3,4,3,463258.42,1042,536607730,3007
High paying customer,221,2,2,1,2865054.99,167,796418511,6791
Normal,434,3,4,4,193596,1016,456319987,4080
Normal,422,2,4,2,1355151.6,559,584436452,6588
Normal,344,4,3,4,4720.98,333,500272166,506
Normal,422,2,4,2,1118321.54,1300,768676316,7259
High paying customer,421,2,4,1,4298312.64,2338,157972514,6432
